[146 195 197] o
[148 197 199] o
[150 199 201] o
[152 201 203] o
[152 201 203] o
[151 200 202] o
[150 199 201] o
[148 197 199] o
[152 201 203] o
[152 201 203] o
[153 202 204] o
[153 202 204] o
[152 201 203] o
[152 201 203] o
[151 200 202] o
[150 199 201] o
[159 208 210] o
[154 203 205] o
[153 202 204] o
[154 203 205] o
[154 203 205] o
[153 202 204] o
[154 203 205] o
[159 208 210] o
[155 204 206] o
[155 204 206] o
[153 202 204] o
[152 201 203] o
[152 201 203] o
[153 202 204] o
[155 204 206] o
[156 204 206] o
[158 204 208] o
[158 203 207] o
[157 202 206] o
[156 201 205] o
[157 202 206] o
[158 203 207] o
[160 205 209] o
[161 206 210] o
[159 204 208] o
[160 205 209] o
[160 205 209] o
[161 206 210] o
[161 206 210] o
[160 205 209] o
[160 205 209] o
[159 204 208] o
[158 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[157 204 208] o
[156 203 207] o
[157 204 208] o
[158 205 209] o
[159 206 210] o
[159 206 210] o
[159 206 210] o
[159 206 210] o
[158 205 209] o
[159 206 210] o
[158 205 209] o
[156 203 207] o
[155 202 206] o
[155 202 206] o
[156 203 207] o
[158 205 209] o
[159 206 211] o
[153 199 205] o
[154 200 207] o
[154 200 207] o
[155 201 208] o
[156 202 209] o
[157 203 210] o
[158 204 211] o
[158 204 211] o
[157 203 210] o
[157 203 210] o
[158 204 211] o
[159 205 212] o
[161 207 214] o
[162 208 215] o
[163 209 216] o
[162 209 216] o
[158 207 213] o
[157 207 213] o
[157 207 213] o
[157 207 213] o
[157 207 213] o
[157 207 213] o
[157 207 213] o
[157 207 213] o
[162 212 218] o
[159 209 215] o
[155 205 211] o
[154 204 210] o
[155 205 211] o
[158 208 214] o
[160 210 216] o
[161 209 216] o
[159 204 214] o
[160 205 216] o
[160 205 216] o
[161 206 217] o
[161 206 217] o
[160 205 216] o
[160 205 216] o
[159 204 215] o
[165 210 221] o
[165 210 221] o
[164 209 220] o
[163 208 219] o
[163 208 219] o
[162 207 218] o
[161 206 217] o
[160 206 217] o
[160 207 218] o
[159 207 218] o
[159 207 218] o
[159 207 218] o
[159 207 218] o
[159 207 218] o
[159 207 218] o
[159 207 218] o
[161 209 220] o
[162 210 221] o
[162 210 221] o
[163 211 222] o
[163 211 222] o
[162 210 221] o
[162 210 221] o
[161 210 219] o
[163 211 218] o
[163 211 217] o
[162 210 216] o
[161 209 215] o
[161 209 215] o
[163 211 217] o
[165 213 219] o
[166 214 220] o
[162 210 216] o
[162 210 216] o
[162 210 216] o
[163 211 217] o
[163 211 217] o
[164 212 218] o
[164 212 218] o
[164 211 218] o
[161 207 217] o
[162 208 219] o
[164 210 221] o
[166 212 223] o
[166 212 223] o
[165 211 222] o
[164 210 221] o
[163 209 220] o
[166 212 223] o
[166 212 223] o
[166 212 223] o
[166 212 223] o
[166 212 223] o
[166 212 223] o
[166 212 223] o
[164 212 223] o
[161 212 222] o
[159 212 222] o
[159 212 222] o
[159 212 222] o
[159 212 222] o
[159 212 222] o
[159 212 222] o
[159 212 222] o
[160 213 223] o
[159 212 222] o
[159 212 222] o
[158 211 221] o
[158 211 221] o
[159 212 222] o
[159 212 222] o
[161 213 223] o
[162 213 223] o
[162 213 223] o
[162 213 223] o
[162 213 223] o
[162 213 223] o
[162 213 223] o
[162 213 223] o
[162 213 223] o
[165 216 226] o
[163 214 223] o
[161 212 222] o
[159 210 220] o
[158 209 219] o
[159 210 220] o
[160 211 221] o
[161 212 222] o
[163 214 223] o
[162 213 223] o
[160 211 221] o
[158 209 219] o
[158 209 219] o
[159 210 220] o
[160 211 221] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[161 212 222] o
[165 216 226] o
[165 216 226] o
[166 217 227] o
[165 216 226] o
[165 216 226] o
[163 214 223] o
[162 213 223] o
[161 212 222] o
[159 210 220] o
[159 210 220] o
[160 211 221] o
[161 212 222] o
[163 214 223] o
[164 215 224] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[163 214 223] o
[161 212 222] o
[160 211 221] o
[161 212 222] o
[163 214 223] o
[165 216 226] o
[167 218 228] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[165 216 226] o
[161 211 223] o
[162 212 224] o
[164 214 226] o
[165 215 227] o
[165 215 227] o
[164 214 226] o
[162 212 224] o
[161 211 223] o
[165 215 227] o
[165 215 227] o
[165 215 227] o
[165 215 227] o
[165 215 227] o
[164 214 226] o
[162 212 224] o
[162 212 224] o
[164 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[163 215 227] o
[164 216 228] o
[162 214 226] o
[160 212 224] o
[158 210 222] o
[158 210 222] o
[160 212 224] o
[162 214 226] o
[164 216 228] o
[162 214 226] o
[162 214 226] o
[164 216 228] o
[165 217 229] o
[165 217 229] o
[165 217 229] o
[165 217 229] o
[165 217 229] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[168 220 233] o
[166 218 231] o
[164 216 229] o
[162 214 227] o
[161 213 226] o
[162 214 227] o
[164 216 229] o
[165 217 230] o
[168 220 233] o
[167 219 232] o
[165 217 230] o
[164 216 229] o
[163 215 228] o
[163 215 228] o
[164 216 229] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[164 216 229] o
[164 216 229] o
[164 216 229] o
[164 216 229] o
[164 216 229] o
[164 216 229] o
[164 216 229] o
[164 216 229] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[166 219 232] o
[165 218 231] o
[165 218 231] o
[164 217 230] o
[164 217 230] o
[165 218 231] o
[165 218 231] o
[166 219 232] o
[166 219 232] o
[165 218 231] o
[162 216 229] o
[161 215 228] o
[161 215 228] o
[162 216 229] o
[165 218 231] o
[166 219 232] o
[165 219 230] o
[164 218 229] o
[164 218 229] o
[162 217 228] o
[162 217 228] o
[164 218 229] o
[164 218 229] o
[165 219 230] o
[161 216 227] o
[162 217 228] o
[162 217 228] o
[164 218 229] o
[164 218 229] o
[165 219 230] o
[165 219 230] o
[166 220 231] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[165 217 230] o
[163 215 228] o
[164 216 229] o
[164 216 229] o
[165 217 230] o
[165 217 230] o
[164 216 229] o
[164 216 229] o
[163 215 228] o
[166 218 231] o
[165 217 230] o
[164 216 229] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[163 215 228] o
[164 216 229] o
[167 219 232] o
[166 218 231] o
[164 216 229] o
[163 215 228] o
[163 215 228] o
[164 216 229] o
[166 218 231] o
[167 219 233] o
[162 213 228] o
[164 215 231] o
[166 217 233] o
[166 217 233] o
[164 215 231] o
[164 215 231] o
[166 217 233] o
[168 219 235] o
[167 218 234] o
[166 217 233] o
[164 215 231] o
[163 214 230] o
[163 214 230] o
[164 215 231] o
[166 217 233] o
[167 218 234] o
[166 218 234] o
[165 217 233] o
[162 215 231] o
[161 214 230] o
[161 214 230] o
[162 215 231] o
[165 217 233] o
[166 218 234] o
[164 216 232] o
[164 216 232] o
[164 216 232] o
[164 216 232] o
[164 216 232] o
[164 216 232] o
[164 216 232] o
[164 217 231] o
[166 219 233] o
[167 220 233] o
[160 214 227] o
[159 212 225] o
[167 220 233] o
[165 218 231] o
[160 214 227] o
[167 220 233] o
[167 220 233] o
[167 220 233] o
[167 220 233] o
[166 219 232] o
[166 219 232] o
[166 219 232] o
[165 218 231] o
[165 218 231] o
[162 214 227] o
[163 215 228] o
[163 215 228] o
[164 216 229] o
[164 216 229] o
[165 217 230] o
[165 217 230] o
[166 218 231] o
[166 218 231] o
[165 217 230] o
[163 215 228] o
[162 214 227] o
[162 214 227] o
[163 215 228] o
[165 217 230] o
[166 218 232] o
[164 216 231] o
[147 196 198] o
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
[ 76 177  34] s
